------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE ------------------------------------- 
NOSTRUM 15 MW Offshore Turbine 
======  Blade Properties ================================================================= 
50          NumBlNds    - Number of blade nodes used in the analysis (-) 
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID    BlCb    BlCenBn    BlCenBt 
(m)	(m)	(m)	(deg)	(deg)	(m)	(-)	(-)	(m)	(m)	
0.000000	0.000042	-0.022766	0.000000	22.356335	5.200000	1	0	0	0
2.387754	0.000085	0.050057	0.001037	20.519563	5.199265	2	0	0	0
4.775507	-0.000114	0.086944	-0.004777	18.802477	5.233251	3	0	0	0
7.163261	-0.000865	0.053072	-0.018020	17.200429	5.293325	4	0	0	0
9.551015	-0.002450	-0.028343	-0.038033	15.708767	5.370853	5	0	0	0
11.938769	-0.005126	-0.135277	-0.064199	14.322841	5.457201	6	0	0	0
14.326522	-0.009124	-0.243444	-0.095951	13.038001	5.543736	7	0	0	0
16.714276	-0.014657	-0.318860	-0.132767	11.849597	5.621824	8	0	0	0
19.102030	-0.021916	-0.346996	-0.174180	10.752979	5.684067	9	0	0	0
21.489783	-0.031075	-0.381907	-0.219772	9.743495	5.728011	10	0	0	0
23.877537	-0.042293	-0.416277	-0.269176	8.816497	5.752435	11	0	0	0
26.265291	-0.055805	-0.435034	-0.324233	7.967334	5.756120	12	0	0	0
28.653044	-0.071860	-0.419288	-0.385239	7.191355	5.738330	13	0	0	0
31.040798	-0.090408	-0.383347	-0.445073	6.483910	5.700268	14	0	0	0
33.428552	-0.111566	-0.352056	-0.507676	5.840350	5.643618	15	0	0	0
35.816306	-0.135443	-0.325868	-0.572932	5.256024	5.570066	16	0	0	0
38.204059	-0.162147	-0.302946	-0.640756	4.726281	5.481297	17	0	0	0
40.591813	-0.191783	-0.283328	-0.711097	4.246471	5.378996	18	0	0	0
42.979567	-0.224455	-0.265001	-0.783929	3.811945	5.264849	19	0	0	0
45.367320	-0.260266	-0.246894	-0.859252	3.418051	5.140542	20	0	0	0
47.755074	-0.299322	-0.228683	-0.937086	3.060141	5.007758	21	0	0	0
50.142828	-0.341728	-0.210853	-1.017468	2.733562	4.868185	22	0	0	0
52.530581	-0.387868	-0.194540	-1.107031	2.433666	4.723506	23	0	0	0
54.918335	-0.437745	-0.180573	-1.196649	2.155802	4.575408	24	0	0	0
57.306089	-0.491338	-0.168692	-1.285787	1.895320	4.425576	25	0	0	0
59.693843	-0.548767	-0.159112	-1.377771	1.647569	4.275695	26	0	0	0
62.081596	-0.610153	-0.152017	-1.472673	1.407899	4.127450	27	0	0	0
64.469350	-0.675621	-0.147534	-1.570562	1.171661	3.982528	28	0	0	0
66.857104	-0.745299	-0.144286	-1.671496	0.934203	3.842612	29	0	0	0
69.244857	-0.819316	-0.142887	-1.775523	0.690876	3.709389	30	0	0	0
71.632611	-0.897803	-0.143150	-1.882674	0.437029	3.584130	31	0	0	0
74.020365	-0.980892	-0.144940	-1.992962	0.169664	3.466447	32	0	0	0
76.408119	-1.068713	-0.147713	-2.106379	-0.107613	3.355538	33	0	0	0
78.795872	-1.161971	-0.151192	-2.236658	-0.389543	3.250602	34	0	0	0
81.183626	-1.260255	-0.155231	-2.357065	-0.670868	3.150838	35	0	0	0
83.571380	-1.363681	-0.159578	-2.480235	-0.946329	3.055443	36	0	0	0
87.303577	-1.535492	-0.164161	-2.635734	-1.210668	2.963617	37	0	0	0
91.035774	-1.721390	-0.168537	-2.851499	-1.458627	2.874556	38	0	0	0
94.767972	-1.919819	-0.172435	-3.043374	-1.684946	2.787461	39	0	0	0
98.500169	-2.133700	-0.175514	-3.279859	-1.884368	2.701528	40	0	0	0
102.232367	-2.360691	-0.178540	-3.480419	-2.051635	2.615957	41	0	0	0
105.964564	-2.602104	-0.181855	-3.700959	-2.181487	2.529946	42	0	0	0
109.696761	-2.857611	-0.185627	-3.916376	-2.268667	2.442693	43	0	0	0
113.428959	-3.125855	-0.189278	-4.110942	-2.307915	2.353397	44	0	0	0
117.161156	-3.408257	-0.192489	-4.327124	-2.293975	2.261255	45	0	0	0
119.548910	-3.594851	-0.195029	-4.468355	-2.221587	2.165467	46	0	0	0
121.936664	-3.786035	-0.197058	-4.577827	-2.085492	2.052625	47	0	0	0
124.324417	-3.981469	-0.198958	-4.679157	-1.880433	1.937753	48	0	0	0
126.712171	-4.180758	-0.200256	-4.771003	-1.601151	1.819663	49	0	0	0
129.100000	-4.383443	-0.059077	-4.851936	-1.242388	0.500000	50	0	0	0
