------- ELASTODYN V1.00.* INDIVIDUAL BLADE INPUT FILE --------------------------
NOSTRUM 15 MW Offshore Reference Turbine
---------------------- BLADE PARAMETERS ----------------------------------------
50                     NBlInpSt    - Number of blade input stations (-)
0.48                   BldFlDmp1   - Blade flap mode #1 structural damping in percent of critical 
0.48                   BldFlDmp2   - Blade flap mode #2 structural damping in percent of critical
0.48                   BldEdDmp1   - Blade edge mode #1 structural damping in percent of critical
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1.0                    FlStTunr1   - Blade flapwise modal stiffness tuner, 1st mode (-)
1.0                    FlStTunr2   - Blade flapwise modal stiffness tuner, 2nd mode (-)
1.0                    AdjBlMs     - Factor to adjust blade mass density (-)
1.0                    AdjFlSt     - Factor to adjust blade flap stiffness (-)
1.0                    AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
    BlFract      PitchAxis      StrcTwst       BMassDen        FlpStff        EdgStff
      (-)           (-)          (deg)          (kg/m)         (Nm^2)         (Nm^2)
0.000000000000e+00  5.045454545455e-01  2.235633500000e+01  3.189145281139e+03  1.525338961805e+11  1.524792338826e+11
2.040816326531e-02  4.920124272560e-01  2.034198307168e+01  2.895245131320e+03  1.403723021083e+11  1.396765346410e+11
4.081632653061e-02  4.750275644587e-01  1.847111092295e+01  2.552300529374e+03  1.262412952505e+11  1.250577672785e+11
6.122448979592e-02  4.564724227369e-01  1.673762839887e+01  2.176306458569e+03  1.039423373278e+11  1.056476571132e+11
8.163265306122e-02  4.371397030237e-01  1.513544036214e+01  1.819571347000e+03  8.168020512017e+10  8.657953574134e+10
1.020408163265e-01  4.180207621362e-01  1.365845383508e+01  1.687852553490e+03  6.301219073899e+10  7.615460504825e+10
1.224489795918e-01  4.001128564339e-01  1.230057645532e+01  1.412262390414e+03  4.870643858206e+10  6.523774683696e+10
1.428571428571e-01  3.847688836885e-01  1.105571572257e+01  1.187912632453e+03  3.995735588157e+10  5.786820500762e+10
1.632653061224e-01  3.702752370223e-01  9.917776673057e+00  9.845670599502e+02  3.542510360019e+10  5.098308721017e+10
1.836734693878e-01  3.541526587966e-01  8.880668371091e+00  7.837478354537e+02  3.156770432303e+10  4.332840609363e+10
2.040816326531e-01  3.400047051106e-01  7.940799865526e+00  6.490669435248e+02  2.772384118157e+10  3.775708764317e+10
2.244897959184e-01  3.299647218576e-01  7.094000582558e+00  5.739966557639e+02  2.379496229492e+10  3.420095349581e+10
2.448979591837e-01  3.232270394559e-01  6.328790527407e+00  5.333592905727e+02  2.093027259256e+10  3.191499181995e+10
2.653061224490e-01  3.206718210908e-01  5.639077308145e+00  5.192132356671e+02  1.976834914760e+10  3.104577448000e+10
2.857142857143e-01  3.176795039079e-01  5.018766815736e+00  5.041592488021e+02  1.836092401158e+10  2.988014931703e+10
3.061224489796e-01  3.140881115414e-01  4.461765688948e+00  4.914242926596e+02  1.707967248725e+10  2.845370090974e+10
3.265306122449e-01  3.102843075056e-01  3.961982005845e+00  4.847384399973e+02  1.617021773973e+10  2.648215668510e+10
3.469387755102e-01  3.074902700886e-01  3.513321855323e+00  4.783126504920e+02  1.488258344871e+10  2.450726737874e+10
3.673469387755e-01  3.057010388743e-01  3.109693588953e+00  4.730166761471e+02  1.362033138202e+10  2.349011638140e+10
3.877551020408e-01  3.039793231498e-01  2.745002240709e+00  4.667051734905e+02  1.240867696104e+10  2.246613456270e+10
4.081632653061e-01  3.015760347478e-01  2.414663107385e+00  4.583564267732e+02  1.121723643840e+10  2.130134731778e+10
4.285714285714e-01  2.966982824620e-01  2.111048978798e+00  4.429222176906e+02  9.824739274389e+09  1.934331934082e+10
4.489795918367e-01  2.928802221258e-01  1.827132034649e+00  4.265381981106e+02  8.432372556534e+09  1.759284013018e+10
4.693877551020e-01  2.908277666753e-01  1.556818605909e+00  4.157035837387e+02  7.328938503951e+09  1.658386353802e+10
4.897959183673e-01  2.892504545444e-01  1.294016490315e+00  3.970672775946e+02  6.352191961303e+09  1.481905054464e+10
5.102040816327e-01  2.880636692417e-01  1.032632625600e+00  3.828582940522e+02  5.482023185597e+09  1.346348406853e+10
5.306122448980e-01  2.878633134815e-01  7.665736259792e-01  3.492505012140e+02  4.775364437041e+09  1.028689139562e+10
5.510204081633e-01  2.881016783829e-01  4.897466219494e-01  3.155762511042e+02  4.145117560813e+09  7.457765742072e+09
5.714285714286e-01  2.889907864208e-01  1.975382651986e-01  2.820999693001e+02  3.541124810037e+09  4.945291495421e+09
5.918367346939e-01  2.907832494927e-01  -1.073811512931e-01  2.585500616499e+02  3.005089013469e+09  3.632358120849e+09
6.122448979592e-01  2.932427027161e-01  -4.184023224684e-01  2.378545984899e+02  2.558915187381e+09  2.807068682524e+09
6.326530612245e-01  2.958801510662e-01  -7.276137597142e-01  2.170019250641e+02  2.166872906498e+09  2.313444645100e+09
6.530612244898e-01  2.981264608818e-01  -9.986574325331e-01  1.958402023283e+02  1.879865060605e+09  1.956776147510e+09
6.734693877551e-01  2.992875195299e-01  -1.185263966137e+00  1.804197678351e+02  1.752012090543e+09  1.709402303559e+09
6.938775510204e-01  3.003459826992e-01  -1.361881444227e+00  1.646731129602e+02  1.634038093527e+09  1.457188202305e+09
7.142857142857e-01  3.015321843357e-01  -1.530091480894e+00  1.497162099639e+02  1.515598595139e+09  1.216405672559e+09
7.346938775510e-01  3.027443688247e-01  -1.689274468186e+00  1.351460161650e+02  1.396266461612e+09  1.009678368710e+09
7.551020408163e-01  3.040322907526e-01  -1.830053725672e+00  1.199372245776e+02  1.278208399694e+09  8.516878776171e+08
7.755102040816e-01  3.055241978769e-01  -1.956891264547e+00  1.066996789410e+02  1.158985554466e+09  7.346807719392e+08
7.959183673469e-01  3.072487878949e-01  -2.069751189054e+00  9.623985568740e+01  1.024328308496e+09  6.428610380559e+08
8.163265306122e-01  3.099013731261e-01  -2.161418448148e+00  8.636569988351e+01  8.468313904519e+08  5.566287099130e+08
8.367346938775e-01  3.146929704544e-01  -2.229556920350e+00  7.691699483047e+01  5.829745948720e+08  4.761991617788e+08
8.571428571429e-01  3.204931655623e-01  -2.278766428575e+00  6.858247030255e+01  3.794098187834e+08  4.086496524606e+08
8.775510204082e-01  3.271340791550e-01  -2.306473014696e+00  6.133510477495e+01  2.522291818708e+08  3.520339642042e+08
8.979591836735e-01  3.327217664302e-01  -2.298586406607e+00  5.489142819983e+01  1.748214152499e+08  3.027997160613e+08
9.183673469388e-01  3.381656747453e-01  -2.251530025417e+00  4.744570377207e+01  1.184043954071e+08  2.469577584225e+08
9.387755102041e-01  3.442284790483e-01  -2.127712336298e+00  3.929314743924e+01  7.309632808002e+07  1.816420055678e+08
9.591836734694e-01  3.513577812674e-01  -1.922840698483e+00  2.874774472642e+01  3.906838349931e+07  1.170637291980e+08
9.795918367347e-01  3.593405073810e-01  -1.630025380163e+00  2.182305991826e+01  1.728190526924e+07  7.021808926250e+07
1.000000000000e+00  3.681818181818e-01  -1.630025380163e+00  5.767382468564e+00  2.226520626453e+05  1.663313892260e+06
---------------------- BLADE MODE SHAPES ---------------------------------------
-0.0752915102669993    BldFl1Sh(2) - Flap mode 1, coeff of x^2
2.826459690437861      BldFl1Sh(3) -            , coeff of x^3
-3.2702836497367604    BldFl1Sh(4) -            , coeff of x^4
2.252110669909933      BldFl1Sh(5) -            , coeff of x^5
-0.7329952003440339    BldFl1Sh(6) -            , coeff of x^6
-0.5285519130664843    BldFl2Sh(2) - Flap mode 2, coeff of x^2
0.7090455925619575     BldFl2Sh(3) -            , coeff of x^3
-7.795036256009813     BldFl2Sh(4) -            , coeff of x^4
15.797380956455061     BldFl2Sh(5) -            , coeff of x^5
-7.182838379940722     BldFl2Sh(6) -            , coeff of x^6
-0.02913195484596477   BldEdgSh(2) - Edge mode 1, coeff of x^2
5.270503361982258      BldEdgSh(3) -            , coeff of x^3
-11.024746168421133    BldEdgSh(4) -            , coeff of x^4
10.34151438983642      BldEdgSh(5) -            , coeff of x^5
-3.5581396285515794    BldEdgSh(6) -            , coeff of x^6
